,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAXONOMY,,,RANGE,,AGE and GROWTH,,,,,,,,,,,,,,,,,,,,,,REPRODUCTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DISPERSAL & RECRUITMENT,,,,HABITAT ASSOCIATION & TROPHIC INTERACTIONS,,,,,,,,,,,,,,,,,,,,,GENETICS,,,,,,,,,RECRUITMENT INTO FISHERY,,,,,,MORTALITY,,,,,,,BEHAVIOR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fecundity,,,,,,,Life Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Growth Parameters,,,,,,,,,,,,,,,,,,,,,,,,,Total length in cm (age in yrs) at,,,,,,,,Fertilization and Spawning Period (^^^^^= peak fertilization;*****=peak spawn; ##### = doubtful spawning  records,,,,,,,,,,,,,,Mean Fecundity,,Size specific,,,,,Eggs,,,Larvae ,,,,,,Juveniles,,,,,,,Adults,,,,,Genetic variance,,,,,,,,,,,,,,,Mortality Estimates,,,,,Rate of Exploitation,,,,,,,,,
,,,,,Length (mm) to,,Max. recorded,Geographic Area,Linf in mm (SE),,,k (SE),,,to (SE),,,r2,,,,,,,,Age composition,,,Breeding Behavior,,Sexual dimorphism,,1st maturity,,50% maturity,,,,,,,,Fertilized eggs present,,,,Spawning females present,,,,Both reproductive states present,,,,eggs/g,Number of eggs,fecundity eq,,,Size at settlement,,Size ,,,,,Food habits,,,,,,Food habits,,,,,,Food habits,,,,,Haplotype diversity,Nucleotide diversity (#),Mean number of ,% Polymorphic ,Mean heterozygosity,,,,First Recruitment,Full Recruitment,,,,,,,,Method of ,Age range used ,Rate of,Exploitation,,Interactions / associations,Movement,,,,,
Family name,Scientific name (Synonym),Common name(s),Geographic range,Observed depth range (m),weight (g) equation,Length conversion equations,length (cm),(length measurement),Male ,Female,Both,Male ,Female,Both,Male ,Female,Both,Male,Female,Both,Ageing structure / Method,Validation,Verification,Other refs.,Longevity (Length),information,Sexuality,Mating system,Mode of reproduction,Parental Care,Male : Female SL ratio,Secondary Characteristics,Male,Female,Male,Female,Ageing structure / Method,Validation,Verification,Other refs.,Geographic Spawning Area,Jan.,Feb.,March,April,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Spawning Frequency,(weight range),"(at cm, grams, or age)",(length or weight range),Egg duration,Larval duration,& location,Annual cohort success,(diameter in mm),Habitat ,Predators,Fish Size,Habitat,Foraging guild,Foraging method,When / Frequency,Predators,Fish Size,Habitat,Foraging guild,Foraging method,When / Frequency,Predators,Fish Size,Habitat,Foraging guild,Foraging method,When / Frequency,Predators,Substocks,(Geographic Area),,alleles per locus (SE),loci,Expected (SE),Observed (SE),Approach,Effective population size,Fishery / Length (age) ,Fishery / Length (age) ,Sampling gear,Ageing structure / Method,Validation,Verification,Natural (M),Fishing (F),Total (Z),mortality estimation,to calculate mortality, exploitation (u),ratio (F/Z),Competition,with other organisms,Tagging studies,Resident or Transient,Homing ability (Home range),Schooling,Territoriality,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cottidae,"Hemilepidotus hemilepidotus 2,3,4","red Irish lord 3,4,5","Sea of Okhotsk to Monterey Bay, California 1",Intertidal to 51 m (156 ft) 1,3 Male: W = 4.6759 x 10-4TL 2.4063                           Female: W = 7.3659 x 10-6TL 3.1510,NF,1 51 cm TL (20 in),NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,6 > 6 yr ,NF,Dioecious,Male: Promiscuous and/or Polygynous 2,Oviparous 1,"Both sexes: guard nest3,4",Female: larger 3,Male: black & white pelvic fins         Female: white 4,4 22.0 - 31.3 cm TL (4-6 yr),4 28.7 - 38.5 cm TL (4-6 yr),NG,NG,NG,NG,NG,NF,"Puget Sound and nearby areas, WA 7",,,,,,,,,,,,,once annually 4,NF,NF,3 Log (ova) = 2.9145 log(TL) - 2.4311                 (range: 326 - 382 mm TL),NF,NF,NF,NF,3 1.5 - 1.6 mm,"demersal, adhesive, guarded 3,11",NF,2 ~5 - 20 mm NL,pelagic 2,NG 2,NF,NF,NF,NF,NF,NF,NF,NF,NF,2 287-385 mm TL (breeding females),guarding nests 2,"Female (breeding): carnivore (crabs,shrimp,fishes) 2",NF,Both sexes: suggested nocturnal 1,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,Parasite: mature Trematode (Derogenes varicus); Bering Sea2,2 <5 m2 to 500-900 m2,NF,NF,NF,NF,
,,"[spotted Irish lord, bullhead, red sculpin] 3","Kamchatka (Russia) to Monterey Bay, CA (common AK, rare CA)2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 1.5 - 1.7 mm,-1 to +1 m 5,,3 5 - 6 to >19 - 23 mm SL,pelagic 3,NG 3,,,,,,,,,,2 220-313 mm TL (breeding males),guarding nests 2,"Male (breeding): carnivore (crabs,shrimp,fishes, conspecific eggs) 2",,,,,,,,,,,,,,,,,,,,,,,,,,,Parasites: 9 Families; ~13 Species; See Refs 11,,,,,,
,,,"San Miquel Is, southern CA 3",intertidal to 275 m (908 ft) 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11 NG,"egg masses adhered to substrate (rocks, inverts) 5,11",,7 22 mm FL (n=1),pelagic 7,copepods 7,,,,,,,,,,19 NG,"Nanaimo, B.C. 19","carnivore: crabs (Hemigrapsus, Cancer productus), shrimps, barnacles, mussels 19",,,,,,,,,,,,,,,,,,,,,,,,,,,"Parasites: Digenea (7 sp), Nematoda (Ascarophis sebastodis), Acanthocephala (Echinorhynchus gadi) 12",,,,,,
,,,"Eastern Kamchatka, Russia and Commander Is, Bering Sea to St Paul I, Aleutian Is4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 NG,shallow water or intertidal zone 8,,8 6.5 - 10.5 mm,pelagic 8,NG 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Diablo Cove, central CA 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9 NG,"tough, pink conspicuous masses, often above low-tide mark 9",,11 16.5 - 22 mm FL,"pelagic, surface 11","copepods, amphipods 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
