ScientificName,CommonName,Independent_variable,Range,a,b,LW_Equation,r2,p,N,RMSE,Smearing_estimate,Source
$Acarnus\text{ }sp.$,NA,percent cover,$5 to 90$,$NA$,$0.803$,$W_{g}=C*0.803$,$0.94$,$<.001$,$10$,$NA$,$NA$,Reed 2016
$Cliona\text{ }celata$,NA,percent cover,$5 to 55$,$NA$,$0.918$,$W_{g}=C*0.918$,$0.98$,$<.001$,$10$,$NA$,$NA$,Reed 2016
$Halichondria\text{ }panicea$,NA,percent cover,$5 to 100$,$NA$,$2.335$,$W_{g}=C*2.335$,$0.96$,$<.001$,$10$,$NA$,$NA$,Reed 2016
$Leucilla\text{ }nuttingi$,NA,percent cover,$5 to 90$,$NA$,$0.193$,$W_{g}=C*0.193$,$0.96$,$<.001$,$21$,$NA$,$NA$,Reed 2016
$Tethya\text{ }aurantia$,orange puffball sponge,diameter,$12 to 81$,$0.003$,$2.471$,$W_{g}=0.003*L^2.471$,$0.97$,$<.001$,$14$,$0.2068$,$1.02$,Reed 2016
$Abietinaria\text{ }sp.$,NA,percent cover,$5 to 100$,$NA$,$0.049$,$W_{g}=C*0.049$,$0.98$,$<.001$,$30$,$NA$,$NA$,Reed 2016
$Aglaophenia\text{ }sp.$,NA,percent cover,$5 to 100$,$NA$,$0.217$,$W_{g}=C*0.217$,$0.91$,$<.001$,$37$,$NA$,$NA$,Reed 2016
$Anthopleura\text{ }artemisia$,NA,disc diameter,$7 to 19$,$0.027$,$1.492$,$W_{g}=0.027*L^1.492$,$0.79$,$0.008$,$7$,$0.2348$,$1.03$,Reed 2016
$Astrangia\text{ }lajollaensis$,La Jolla cup coral,percent cover,$5 to 100$,$NA$,$0.048$,$W_{g}=C*0.048$,$0.87$,$<.001$,$10$,$NA$,$NA$,Reed 2016
$Balanophyllia\text{ }elegans$,orange cup coral,disc diameter,$6 to 13$,$0.006$,$2.001$,$W_{g}=0.006*L^2.001$,$0.72$,$<.001$,$28$,$0.238$,$1.03$,Reed 2016
$Corynactis\text{ }californicus$,club-tipped anemone,percent cover,$5 to 100$,$NA$,$0.284$,$W_{g}=C*0.284$,$0.8$,$<.001$,$24$,$NA$,$NA$,Reed 2016
$Epiactis\text{ }prolifera$,NA,percent cover,$5 to 75$,$NA$,$0.349$,$W_{g}=C*0.349$,$0.99$,$<.001$,$15$,$NA$,$NA$,Reed 2016
$Hydractinia\text{ }milleri$,NA,percent cover,$5 to 100$,$NA$,$0.03$,$W_{g}=C*0.03$,$0.93$,$<.001$,$19$,$NA$,$NA$,Reed 2016
$Lophogorgia\text{ }chilensis$,red gorgonian,colony width,$70 to 410$,$0.018$,$1.529$,$W_{g}=(0.018*10^1.529)*L^1.529$,$0.71$,$<.001$,$25$,$0.4641$,$1.12$,Reed 2016
$Muricea\text{ }californica$,California golden gorgonian,colony width,$8 to 327$,$0.002$,$2.001$,$W_{g}=(0.002*10^2.001)*L^2.001$,$0.68$,$0.003$,$10$,$0.4755$,$1.11$,Reed 2016
$Muricea\text{ }fruticosa$,brown gorgonian,colony width,$8 to 327$,$0.002$,$2.001$,$W_{g}=(0.002*10^2.001)*L^2.001$,$0.68$,$0.003$,$10$,$0.4755$,$1.11$,See M. californica
