CommonName,ReserveStatus,r.squared,adj.r.squared,sigma,df,logLik,AIC,BIC,deviance,df.residual,nobs,term,estimate,std.error,statistic,p.value
bat star,Inside,0.9464151964606131,0.9462145043125255,20.828291887668446,1,-1197.4587245185521,2400.9174490371042,2411.70158317591,115829.33736976335,267,269,(Intercept),0.7155498051648167,1.530241674203587,0.4676057496194018,0.6404479727315355
bat star,Inside,0.9464151964606131,0.9462145043125255,20.828291887668446,1,-1197.4587245185521,2400.9174490371042,2411.70158317591,115829.33736976335,267,269,Mean_Density,67.77663760496908,0.9869709223213688,68.6713621162795,1.0646451623552052e-171
bat star,Outside,0.7921473434808054,0.791762431153918,38.66569258148458,1,-2749.0472043895184,5504.094408779037,5516.980206783355,807319.3227151707,540,542,(Intercept),6.641029378911411,2.1966436707828176,3.023262018889367,0.0026194228044674793
bat star,Outside,0.7921473434808054,0.791762431153918,38.66569258148458,1,-2749.0472043895184,5504.094408779037,5516.980206783355,807319.3227151707,540,542,Mean_Density,59.006126618407066,1.300693684841681,45.36512117039242,2.3984772465171405e-186
brown gorgonian,Inside,0.6181480310591422,0.6165701303610394,0.13152000443078538,1,149.76061940510513,-293.52123881021026,-283.0297341343307,4.185997798844661,242,244,(Intercept),-0.005988840896632408,0.008898854985515441,-0.6729900539316993,0.5015957633604655
brown gorgonian,Inside,0.6181480310591422,0.6165701303610394,0.13152000443078538,1,149.76061940510513,-293.52123881021026,-283.0297341343307,4.185997798844661,242,244,Mean_Density,140.66671666838903,7.106977485852716,19.79276238716147,1.6681839424149657e-52
brown gorgonian,Outside,0.7531295029950374,0.7526183839536194,0.16763981842863407,1,178.99658536625753,-351.99317073251507,-339.44072405970263,13.573801513105346,483,485,(Intercept),0.020476731261025286,0.0079148553698409,2.5871263976661774,0.009969147898128038
brown gorgonian,Outside,0.7531295029950374,0.7526183839536194,0.16763981842863407,1,178.99658536625753,-351.99317073251507,-339.44072405970263,13.573801513105346,483,485,Mean_Density,63.56358238436586,1.655901751475362,38.38608318865083,7.985894377020796e-149
California golden gorgonian,Inside,0.4914345441081215,0.48918425448028136,2.077860277791329,1,-489.2587863573857,984.5175727147714,994.8056096016347,975.7557534892112,226,228,(Intercept),0.28638252415047205,0.15234858293924716,1.879784626974012,0.06142400168629175
California golden gorgonian,Inside,0.4914345441081215,0.48918425448028136,2.077860277791329,1,-489.2587863573857,984.5175727147714,994.8056096016347,975.7557534892112,226,228,Mean_Density,163.6211782690001,11.071995091475998,14.777930889345066,4.942173139235386e-35
California golden gorgonian,Outside,0.8925365237124916,0.8922644642788523,4.70396745090148,1,-1177.0333678738248,2360.0667357476495,2372.018544589711,8740.287362760524,395,397,(Intercept),0.10927641612531144,0.2444218655408623,0.44708118025161986,0.6550614891603271
California golden gorgonian,Outside,0.8925365237124916,0.8922644642788523,4.70396745090148,1,-1177.0333678738248,2360.0667357476495,2372.018544589711,8740.287362760524,395,397,Mean_Density,239.62687576998027,4.183641109262063,57.27711089736547,2.0042268212986013e-193
giant-spined sea star,Inside,0.8536221594713486,0.8530613248333078,4.796129308635973,1,-784.510831788062,1575.021663576124,1585.7381256726574,6003.745506085971,261,263,(Intercept),1.5310518316549426,0.3432657706096579,4.460251976000155,1.217488558409583e-5
giant-spined sea star,Inside,0.8536221594713486,0.8530613248333078,4.796129308635973,1,-784.510831788062,1575.021663576124,1585.7381256726574,6003.745506085971,261,263,Mean_Density,119.10249860715844,3.052849862472962,39.013546021775014,6.634674135480001e-111
giant-spined sea star,Outside,0.7492433767109299,0.7487657450475221,9.957506004805875,1,-1957.996843465767,3921.993686931534,3934.795288577158,52054.761063766164,525,527,(Intercept),3.887138644072189,0.5241899047639778,7.415516034827904,4.893727828080921e-13
giant-spined sea star,Outside,0.7492433767109299,0.7487657450475221,9.957506004805875,1,-1957.996843465767,3921.993686931534,3934.795288577158,52054.761063766164,525,527,Mean_Density,84.88988970462123,2.1433399941136164,39.606357338434144,8.087702677148188e-160
"giant kelp, adult (>1m)",Inside,0.7618030310888176,0.7609240754839793,14.304899076019398,1,-1112.7109040433872,2231.4218080867745,2242.2502234723293,55454.76728285227,271,273,(Intercept),8.376606270510539,1.050331292881633,7.975203944965714,4.2898000803632735e-14
"giant kelp, adult (>1m)",Inside,0.7618030310888176,0.7609240754839793,14.304899076019398,1,-1112.7109040433872,2231.4218080867745,2242.2502234723293,55454.76728285227,271,273,Mean_Density,38.21161635762623,1.2979487083168997,29.44000491912867,2.082076511068431e-86
"giant kelp, adult (>1m)",Outside,0.7805692451421022,0.7801590941984426,14.372985157338931,1,-2192.261297756829,4390.522595513658,4403.380589797185,110521.7457482006,535,537,(Intercept),5.711315184717002,0.6830666919132274,8.361284853049945,5.39881739770853e-16
"giant kelp, adult (>1m)",Outside,0.7805692451421022,0.7801590941984426,14.372985157338931,1,-2192.261297756829,4390.522595513658,4403.380589797185,110521.7457482006,535,537,Mean_Density,46.04322612003333,1.0554359561386606,43.6248413295333,2.4446007188490772e-178
giant keyhole limpet,Inside,0.9263274067669356,0.9260139063701992,1.4376602393478852,1,-421.319208194732,848.638416389464,859.0425968128694,485.71373649342735,235,237,(Intercept),0.2753237443360368,0.10840525236528029,2.5397638797824214,0.01173835050346376
giant keyhole limpet,Inside,0.9263274067669356,0.9260139063701992,1.4376602393478852,1,-421.319208194732,848.638416389464,859.0425968128694,485.71373649342735,235,237,Mean_Density,109.92377005942511,2.022220020146512,54.357967463629905,4.373873246764389e-135
giant keyhole limpet,Outside,0.9557671996568178,0.9556675762326214,2.2135642430510813,1,-986.2377191731925,1978.475438346385,1990.7763952024452,2175.5407962027525,444,446,(Intercept),0.18063384861190046,0.12061644703295572,1.4975888699701654,0.1349506558784019
giant keyhole limpet,Outside,0.9557671996568178,0.9556675762326214,2.2135642430510813,1,-986.2377191731925,1978.475438346385,1990.7763952024452,2175.5407962027525,444,446,Mean_Density,101.28491018891825,1.0340687618300837,97.94794497966006,8.770967738998214e-303
green abalone,Inside,0.838737593906132,0.8381490449787821,0.12659455583926704,1,179.80395898364733,-353.60791796729467,-342.7467153701432,4.391173749670717,274,276,(Intercept),0.008206687800300611,0.007685199666573337,1.0678561594171039,0.28652532152012383
green abalone,Inside,0.838737593906132,0.8381490449787821,0.12659455583926704,1,179.80395898364733,-353.60791796729467,-342.7467153701432,4.391173749670717,274,276,Mean_Density,230.6084604423512,6.10876569676324,37.750418315199134,1.4209964573535602e-110
green abalone,Outside,0.9117808063831657,0.9116241115454804,0.07203809321770098,1,685.5680313240073,-1365.1360626480146,-1352.1255854545752,2.921681110310945,563,565,(Intercept),-0.004437446630555784,0.0030590248327554245,-1.450608240587162,0.14744587471129428
green abalone,Outside,0.9117808063831657,0.9116241115454804,0.07203809321770098,1,685.5680313240073,-1365.1360626480146,-1352.1255854545752,2.921681110310945,563,565,Mean_Density,398.0159645507524,5.217742153674377,76.28126358648565,5.278147450433273e-299
