CommonName,ReserveStatus,r.squared,adj.r.squared,sigma,df,logLik,AIC,BIC,deviance,df.residual,nobs,term,estimate,std.error,statistic,p.value
black and yellow rockfish,Inside,0.7665858819185587,0.7653827163614378,451.2170023314625,1,-1475.048698353166,2956.097396706332,2965.931740684023,39497775.93944026,194,196,(Intercept),12.181420060804678,40.20371406614131,0.3029924061434813,0.7622203005029755
black and yellow rockfish,Inside,0.7665858819185587,0.7653827163614378,451.2170023314625,1,-1475.048698353166,2956.097396706332,2965.931740684023,39497775.93944026,194,196,Count,303.31480741845144,12.016442139716585,25.24164839240888,3.3331721965878327e-63
black and yellow rockfish,Outside,0.7350358583809197,0.7338686154662981,655.9083022012837,1,-1809.2313397696496,3624.462679539299,3634.763845549962,97658964.10352153,227,229,(Intercept),-60.96697273722502,55.80719761329655,-1.092457162240648,0.2757902622452967
black and yellow rockfish,Outside,0.7350358583809197,0.7338686154662981,655.9083022012837,1,-1809.2313397696496,3624.462679539299,3634.763845549962,97658964.10352153,227,229,Count,347.69799546577576,13.855702403134911,25.09421647127089,2.0957999683310848e-67
black surfperch,Inside,0.3182734400160147,0.3146854054897833,1798.0786508658193,1,-1710.3699534480475,3426.739906896095,3436.512393012178,614286498.5928946,190,192,(Intercept),957.6256238716037,172.92824572674112,5.537705074420467,1.0096771013752984e-7
black surfperch,Inside,0.3182734400160147,0.3146854054897833,1798.0786508658193,1,-1710.3699534480475,3426.739906896095,3436.512393012178,614286498.5928946,190,192,Count,100.48392681687177,10.669024346361455,9.418286391964287,1.5806793599599844e-17
black surfperch,Outside,0.48582862263031784,0.48354341650867483,1748.236409036647,1,-2015.9589696044159,4037.9179392088317,4048.1927892612757,687674371.9233038,225,227,(Intercept),587.5156889769244,146.71884294306022,4.0043642465537435,8.44865873609321e-5
black surfperch,Outside,0.48582862263031784,0.48354341650867483,1748.236409036647,1,-2015.9589696044159,4037.9179392088317,4048.1927892612757,687674371.9233038,225,227,Count,148.595992914474,10.191268384990652,14.58071628584731,2.3975139567793485e-34
blacksmith,Inside,0.2778292323052639,0.2740082229523817,14143.439090150108,1,-2095.4001576594574,4196.800315318915,4206.557135603055,37806968297.092575,189,191,(Intercept),5312.066723631371,1241.0031613923568,4.280461878655846,2.9622157359518318e-5
blacksmith,Inside,0.2778292323052639,0.2740082229523817,14143.439090150108,1,-2095.4001576594574,4196.800315318915,4206.557135603055,37806968297.092575,189,191,Count,18.981499134017113,2.2260278338976662,8.527071784534442,4.753276187713405e-15
blacksmith,Outside,0.17487801921810908,0.1713668618530798,18489.903245845657,1,-2663.8044707766417,5333.608941553283,5344.013121976689,80340982679.57245,235,237,(Intercept),7305.3271685176405,1368.7503785843708,5.337223852367567,2.220672023633932e-7
blacksmith,Outside,0.17487801921810908,0.1713668618530798,18489.903245845657,1,-2663.8044707766417,5333.608941553283,5344.013121976689,80340982679.57245,235,237,Count,12.419055564550725,1.759730269902062,7.057363152161898,1.89323106379461e-11
blue rockfish,Inside,0.29748532453757504,0.2940075291144937,7275.701194814177,1,-2102.4868027352013,4210.973605470403,4220.927965451935,10693037230.99653,202,204,(Intercept),1978.0497846255448,550.578453615367,3.592675615321856,4.1112552738013493e-4
blue rockfish,Inside,0.29748532453757504,0.2940075291144937,7275.701194814177,1,-2102.4868027352013,4210.973605470403,4220.927965451935,10693037230.99653,202,204,Count,25.741226777148047,2.783226068235725,9.248701379642258,3.305967337213904e-17
blue rockfish,Outside,0.17067999151979843,0.16715097020711678,7443.31743810225,1,-2448.156234268632,4902.312468537264,4912.71664896067,13019699003.823904,235,237,(Intercept),2626.5147806120804,534.327899038804,4.91554864594734,1.6618217198068976e-6
blue rockfish,Outside,0.17067999151979843,0.16715097020711678,7443.31743810225,1,-2448.156234268632,4902.312468537264,4912.71664896067,13019699003.823904,235,237,Count,19.831959695495687,2.851684436674943,6.954472044817028,3.477068336917724e-11
cabezon,Inside,0.6383146326913307,0.6364971182827445,1031.9713624668098,1,-1678.9861022168857,3363.9722044337714,3373.8821191579486,211928013.6973691,199,201,(Intercept),-54.9385361369197,85.75827752796742,-0.6406207974385119,0.5225060762087033
cabezon,Inside,0.6383146326913307,0.6364971182827445,1031.9713624668098,1,-1678.9861022168857,3363.9722044337714,3373.8821191579486,211928013.6973691,199,201,Count,1779.2239794690388,94.94063983318738,18.740383281544883,7.982943770976279e-46
cabezon,Outside,0.4299184640922176,0.4275627552661523,987.5413858119914,1,-2027.6501721688344,4061.300344337669,4071.7918490135485,236007593.26333538,242,244,(Intercept),16.541449020652486,75.9098431853601,0.21790914493474614,0.8276835315632342
cabezon,Outside,0.4299184640922176,0.4275627552661523,987.5413858119914,1,-2027.6501721688344,4061.300344337669,4071.7918490135485,236007593.26333538,242,244,Count,1193.9578605318982,88.38056119079374,13.509281276845616,2.2852590128628967e-31
California scorpionfish,Inside,0.2758735682925006,0.2721600994119494,220.82975565532107,1,-1341.8120177253809,2689.6240354507618,2699.473646636976,9509327.291643817,195,197,(Intercept),30.553546738004027,17.148172674743797,1.7817377581579847,0.07634828286895107
California scorpionfish,Inside,0.2758735682925006,0.2721600994119494,220.82975565532107,1,-1341.8120177253809,2689.6240354507618,2699.473646636976,9509327.291643817,195,197,Count,158.64195662928464,18.405724023582074,8.619164148393558,2.303072207617127e-15
California scorpionfish,Outside,0.16201015376563327,0.15854738580598715,242.5542376838135,1,-1685.0758656120227,3376.1517312240453,3386.643235899925,14237479.088846968,242,244,(Intercept),27.022257559160472,16.83863149889476,1.6047775355695704,0.10984695229866506
California scorpionfish,Outside,0.16201015376563327,0.15854738580598715,242.5542376838135,1,-1685.0758656120227,3376.1517312240453,3386.643235899925,14237479.088846968,242,244,Count,146.8978699130099,21.47613258547872,6.8400522919259785,6.425921694406353e-11
"California sheephead, female",Inside,0.3217019356938484,0.3181319458817108,6080.341979430464,1,-1944.2916678271313,3894.5833356542626,3904.3558217703458,7024406131.496631,190,192,(Intercept),2409.244214426523,661.2961577307263,3.643215201331239,3.472878588335729e-4
"California sheephead, female",Inside,0.3217019356938484,0.3181319458817108,6080.341979430464,1,-1944.2916678271313,3894.5833356542626,3904.3558217703458,7024406131.496631,190,192,Count,354.7211943051944,37.367478156838274,9.492778528333204,9.740327545733478e-18
"California sheephead, female",Outside,0.3442727658973728,0.341446355405551,4596.546624023048,1,-2304.363491348797,4614.726982697594,4625.092946043667,4901751881.101702,232,234,(Intercept),2916.0905214783234,413.4485361809689,7.0530918996939755,1.9957210142626627e-11
"California sheephead, female",Outside,0.3442727658973728,0.341446355405551,4596.546624023048,1,-2304.363491348797,4614.726982697594,4625.092946043667,4901751881.101702,232,234,Count,183.90409431986222,16.66317218907115,11.036559679823696,4.860757810460407e-23
"California sheephead, male",Inside,0.5461934652821557,0.5438298895805003,6806.572485213632,1,-1986.4438145627155,3978.887629125431,3988.691203602621,8895250367.321716,192,194,(Intercept),2860.5139978777866,686.9837298839786,4.163874446285482,4.72262067413501e-5
"California sheephead, male",Inside,0.5461934652821557,0.5438298895805003,6806.572485213632,1,-1986.4438145627155,3978.887629125431,3988.691203602621,8895250367.321716,192,194,Count,3095.5389551475973,203.632823016677,15.201571678324573,8.88794927041013e-35
