ScientificName,ScientificName_Short_Form,CommonName,CommonName_Capitalized,Trophic_Code,Trophic_Full,Trophic_Level_Primary,Trophic_Level_Secondary,Broad_Trophic_Level,Targeted,Legal_Size_cm
Anisotremus davidsonii,A. davidsonii,sargo,sargo,Bi,Benthic macro-invertivore,benthic macro-invertivore,,carnivore,Non-targeted,
Anarrhichthys ocellatus,A. ocellatus,wolf eel,wolf eel,Bi,Benthic macro-invertivore,benthic macro-invertivore,,carnivore,Non-targeted,
Balistes polylepis,B. polylepis,finescale triggerfish,finescale triggerfish,Bi,Benthic macro-invertivore,benthic macro-invertivore,,carnivore,Non-targeted,
Myliobatis californica,M. californica,bat ray,bat ray,Bi,Benthic macro-invertivore,benthic macro-invertivore,,carnivore,Non-targeted,
Rhacochilus vacca,R. vacca,pile perch,pile perch,Bi,Benthic macro-invertivore,benthic macro-invertivore,,carnivore,Non-targeted,
Phanerodon furcatus,P. furcatus,white surfperch,white surfperch,Bi,Benthic macro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Platyrhinoides triseriata,P. triseriata,thornback,thornback,Bi,Benthic macro-invertivore,benthic macro-invertivore,,carnivore,Non-targeted,
Rhacochilus toxotes,R. toxotes,rubberlip surfperch,rubberlip surfperch,Bi,Benthic macro-invertivore,benthic macro-invertivore,,carnivore,Non-targeted,
Semicossyphus pulcher,S. pulcher,"California sheephead, juvenile","California sheephead, juvenile",Bi,Benthic macro-invertivore,benthic macro-invertivore,,carnivore,Targeted,30
Triakis semifasciata,T. semifasciata,leopard shark,leopard shark,Bi,Benthic macro-invertivore,benthic macro-invertivore,,carnivore,Targeted,90
Cephaloscyllium ventriosum,C. ventriosum,swell shark,swell shark,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Non-targeted,
Heterostichus rostratus,H. rostratus,giant kelpfish,giant kelpfish,Bi/Pi,Benthic macro-invertivore + Piscivore,benthic macro-invertivore,piscivore,carnivore,Non-targeted,
Paralichthys californicus,P. californicus,California halibut,California halibut,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Targeted,55
Paralabrax clathratus,P. clathratus,kelp bass,kelp bass,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Targeted,30
Plueronichthys coenosus,P. coenosus,C-O turbot,C-O turbot,Bi/Pi,Benthic macro-invertivore + Piscivore,benthic macro-invertivore,piscivore,carnivore,Non-targeted,
Pleuronectidae spp.,P. spp.,righteyed flounders,righteyed flounders,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Targeted,
Paralabrax maculatofasciatus,P. maculatofasciatus,spotted sandbass,spotted sandbass,Bi/Pi,Benthic macro-invertivore + Piscivore,benthic macro-invertivore,piscivore,carnivore,Targeted,30
Paralabrax nebulifer,P. nebulifer,barred sandbass,barred sandbass,Bi/Pi,Benthic macro-invertivore + Piscivore,benthic macro-invertivore,piscivore,carnivore,Targeted,30
Sebastes atrovirens,S. atrovirens,kelp rockfish,kelp rockfish,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Targeted,
Sebastes auriculatus,S.  auriculatus,brown rockfish,brown rockfish,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Targeted,
Sebastes carnatus,S.  carnatus,gopher rockfish,gopher rockfish,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Targeted,
Sebastes caurinus,S.  caurinus,copper rockfish,copper rockfish,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Targeted,
Sebastes chrysomelas,S.  chrysomelas,black and yellow rockfish,black and yellow rockfish,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Targeted,
Stereolepis gigas,S.  gigas,giant sea bass,giant sea bass,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Non-targeted,
Scorpaena guttata,S.  guttata,California scorpionfish,California scorpionfish,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Targeted,25
Scorpaenichthys marmoratus,S.  marmoratus,cabezon,cabezon,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Targeted,37.5
Sebastes melanops,S.  melanops,black rockfish,black rockfish,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Targeted,
Sebastes miniatus,S.  miniatus,vermilion rockfish,vermilion rockfish,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Targeted,
Sebastes nebulosus,S.  nebulosus,china rockfish,china rockfish,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Targeted,
Sebastes serranoides,S.  serranoides,olive rockfish,olive rockfish,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Targeted,
Sebastes pinniger,S.  pinniger,canary rockfish,canary rockfish,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Targeted,
Sebastes rastrelliger,S.  rastrelliger,grass rockfish,grass rockfish,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Targeted,
Sebastes serriceps,S.  serriceps,treefish,treefish,Bi/Pi,Benthic macro-invertivore + Piscivore,piscivore,benthic macro-invertivore,piscivore,Targeted,
Alloclinus holderi,A.  holderi,Island kelpfish,Island kelpfish,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Apodichthys sanctaerosae,A. sanctaerosae,kelp gunnel,kelp gunnel,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Brachyistius frenatus,B. frenatus,kelp surfperch,kelp surfperch,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Cymatogaster aggregata,C. aggregata,shiner surfperch,shiner surfperch,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Chaetodon falcifer,C. falcifer,scythemarked butterflyfish,scythemarked butterflyfish,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Citharichthys spp.,C. spp.,sanddab,sanddab,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Targeted,
Clinidae spp.,C. spp.,kelpfishes and fringeheads,kelpfishes and fringeheads,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Cottidae spp.,C. spp.,unidentified sculpins,unidentified sculpins,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Caulolatilus princeps,C. princeps,ocean whitefish,ocean whitefish,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Targeted,
Chitonotus pugetensis,C. pugetensis,roughback sculpin,roughback sculpin,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Cheilotrema saturnum,C. saturnum,black croaker,black croaker,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Targeted,
Citharichthys sordidus,C. sordidus,pacific sanddab,pacific sanddab,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Targeted,
Citharichthys stigmaeus,C. stigmaeus,speckled sanddab,speckled sanddab,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Targeted,
Embiotoca jacksoni,E. jacksoni,black surfperch,black surfperch,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Embiotoca lateralis,E. lateralis,striped surfperch,striped surfperch,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Gibbonsia spp.,G. spp.,kelpfish,kelpfish,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Hyperprosopon analis,H. analis,spotfin surfperch,spotfin surfperch,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Hyperprosopon argenteum,H. argenteum,walleye surfperch,walleye surfperch,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Hypsurus caryi,H. caryi,rainbow surfperch,rainbow surfperch,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Hexagrammos decagrammus,H. decagrammus,kelp greenling,kelp greenling,Bmi,Benthic micro-invertivore,benthic macro-invertivore,,carnivore,Targeted,30
Hyperprosopon ellipticum,H. ellipticum,silver surfperch,silver surfperch,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Heterodontus francisci,H. francisci,horn shark,horn shark,Bmi,Benthic micro-invertivore,benthic macro-invertivore,,carnivore,Non-targeted,
Hexagrammos lagocephalus,H. lagocephalus,rock greenling,rock greenling,Bmi,Benthic micro-invertivore,benthic macro-invertivore,,carnivore,Targeted,
Hypsypops rubicundus,H. rubicundus,garibaldi,garibaldi,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Halichoeres semicinctus,H. semicinctus,"rock wrasse, juvenile","rock wrasse, juvenile",Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Lethops connectens,L. connectens,"kelp goby, halfblind goby","kelp goby, halfblind goby",Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Leiocottus hirundo,L. hirundo,lavender sculpin,lavender sculpin,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Liparis mucosus,L. mucosus,slimy snailfish,slimy snailfish,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Neoclinus stephensae,N. stephensae,yellowfin fringehead,yellowfin fringehead,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Neoclinus uninotatus,N. uninotatus,onespot fringehead,onespot fringehead,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Oxylebius pictus,O. pictus,painted greenling,painted greenling,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Pholididae spp.,P. spp.,gunnels,gunnels,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Rathbunella hypoplecta,R. hypoplecta,smooth ronquil,smooth ronquil,Bmi,Benthic micro-invertivore,benthic micro-invertivore,,carnivore,Non-targeted,
Coryphopterus nicholsii,C. nicholsii,blackeye goby,blackeye goby,Bmi/Zp,Benthic micro-invertivore + Zooplanktivore,planktivore,benthic micro-invertivore,planktivore,Non-targeted,
Oxyjulis californica,O. californica,senorita,senorita,Bmi/Zp,Benthic micro-invertivore + Zooplanktivore,planktivore,benthic micro-invertivore,planktivore,Non-targeted,
Mugil cephalus,M. cephalus,mullet,mullet,De,Detritivore,detritivores,,herbivore,Targeted,
Girella nigricans,G. nigricans,opaleye,opaleye,He,Herbivore,herbivore,,herbivore,Non-targeted,
Medialuna californiensis,M. californiensis,halfmoon,halfmoon,He,Herbivore,herbivores,,herbivore,Non-targeted,
Alopias vulpinus,A. vulpinus,thresher shark,thresher shark,Pi,Piscivore,piscivore,,piscivore,Targeted,
Bothidae spp.,B. spp.,lefteyed flounders,lefteyed flounders,Pi,Piscivore,piscivore,,piscivore,Targeted,
Galeorhinus galeus,G. galeus,tope shark,tope shark,Pi,Piscivore,piscivore,,piscivore,Non-targeted,
Gymnothorax mordax,G. mordax,California moray,California moray,Pi,Piscivore,piscivore,,piscivore,Non-targeted,
Ophiodon elongatus,O. elongatus,lingcod,lingcod,Pi,Piscivore,piscivore,,piscivore,Targeted,60
Prionace glauca,P. glauca,blue shark,blue shark,Pi,Piscivore,piscivore,,piscivore,Targeted,
