Response Variable,Model Fromula
Shannon's Index ,Reserve Status * Island + ONI + (1 | Survey Year)
Simpson's Index ,Reserve Status * Island + ONI + (1 | Survey Year)
*Parastichopus parvimensis*,Reserve Status * Island + ONI + (1 | Survey Year)
*Kelletia kelletii*,Reserve Status * Island + ONI + (1 | Survey Year)
*Panulirus interruptus*,Reserve Status * Island + ONI + (1 | Survey Year)
Garibaldi,Reserve Status * Island + ONI + (1 | Survey Year)
*Tethya aurantia*,Reserve Status * Island + ONI + (1 | Survey Year)
*Strongylocentrotus franciscanus*,Reserve Status * Island + ONI + (1 | Survey Year)
*Patiria miniata*,Reserve Status * Island + ONI + (1 | Survey Year)
*Macrocystis pyrifera*,Reserve Status * Island + ONI + (1 | Survey Year)
*Lytechinus anamesus*,Reserve Status * Island + ONI + (1 | Survey Year)
*Strongylocentrotus purpuratus*,Reserve Status * Island + ONI + (1 | Survey Year)
California sheephead male,Reserve Status * Island + ONI + (1 | Survey Year)
Kelp bass,Reserve Status * Island + ONI + (1 | Survey Year)
Rock wrasse female,Reserve Status * Island + ONI + (1 | Survey Year)
Rock wrasse male,Reserve Status * Island + ONI + (1 | Survey Year)
*Pycnopodia helianthoides*,Reserve Status * Island + ONI + (1 | Survey Year)
