CommonName,IslandName,r.squared,adj.r.squared,sigma,df,logLik,AIC,BIC,deviance,df.residual,nobs,term,estimate,std.error,statistic,p.value
brown gorgonian,Anacapa Island,0.14132112534459293,0.13781631361130553,133.02237107158274,NA,-1551.6251202808935,3107.250240561787,3114.2609036336517,4335263.045348935,245,246,Mean_Density,4312.195614725868,679.0898777526987,6.349963025507239,1.037483819997074e-9
brown gorgonian,Santa Barbara Island,0.532115705923957,0.5280114577303074,120.61565685574658,NA,-713.8257912825613,1431.6515825651227,1437.1414468218493,1658487.5813767253,114,115,Mean_Density,47874.09242342183,4204.499671371682,11.386394616556913,1.6002648264773298e-020
brown gorgonian,Santa Cruz Island,0.4272111611424279,0.4202259314002623,41.82429455433214,NA,-427.14748434449524,858.2949686889905,863.1326499045837,143440.27242733806,82,83,Mean_Density,65338.48181197641,8354.839112208168,7.82043567020976,1.583007305381096e-11
brown gorgonian,Santa Rosa Island,0.5225497350861928,0.517244732142706,8.709250362539173,NA,-325.5797395735678,655.1594791471356,660.1811981601693,6826.593768964984,90,91,Mean_Density,39828.25903823936,4013.0107370484816,9.924782575471637,4.0935630546071867e-16
California golden gorgonian,Anacapa Island,0.3914405517696221,0.3910461516087469,276.68960591665683,NA,-10872.092853888833,21748.185707777666,21758.869971238837,118127663.96843183,1543,1544,Mean_Density,940.4535210717582,29.851968249642923,31.503903300681273,1.2609263499985826e-168
California golden gorgonian,Santa Barbara Island,0.37813939138278885,0.3772647632412738,271.3916355223533,NA,-4999.520688344775,10003.04137668955,10012.177532512374,52367581.500194974,711,712,Mean_Density,7135.719284214128,343.18122469352994,20.79286036287829,2.207542131844537e-75
California golden gorgonian,Santa Cruz Island,0.5653710381319789,0.5638927083297067,197.63817760283763,NA,-1977.5852199951582,3959.1704399903165,3966.544390702996,11483889.67837421,294,295,Mean_Density,41159.50161384184,2104.694153914055,19.5560488146453,3.9224098223458385e-55
California golden gorgonian,Santa Rosa Island,0.6343058353361651,0.6301024541331326,95.61915401502212,NA,-525.6765660156861,1055.3531320313723,1060.3078056603288,795442.9674657214,87,88,Mean_Density,308788.1288964089,25136.837142266515,12.284287285180953,1.0535308044299262e-20
red gorgonian,Anacapa Island,0.1750737747859195,0.17455100784978883,161.02718487645856,NA,-10263.80786974879,20531.61573949758,20542.344833526095,40917152.236856245,1578,1579,Mean_Density,684.3060322430441,37.39330710330856,18.30022764107154,5.388200162124658e-68
red gorgonian,Santa Barbara Island,0.39098469333165686,0.3904335482577489,110.20634892478807,NA,-6769.649877182658,13543.299754365316,13553.316764729481,13420710.474382011,1105,1106,Mean_Density,1015.2273701365476,38.11679750169733,26.634645003724142,3.895442537574116e-121
red gorgonian,Santa Cruz Island,0.5487725770949499,0.5486713142083015,122.78640771703972,NA,-27763.86824908972,55531.73649817944,55544.54096052533,67180892.55576557,4456,4457,Mean_Density,758.0406955244517,10.297255117715341,73.61580215880275,0
red gorgonian,Santa Rosa Island,0.5897372774044801,0.5887941447088583,80.58520834424218,NA,-2531.898015633212,5067.796031266424,5075.951315753122,2824879.47468994,435,436,Mean_Density,2508.202582878153,100.30433914252993,25.005923017089625,3.446874463537566e-86
