Scientific_Name,Data_Type,ScientificName,CommonName,Classification,Trophic_Broad,Targeted_Broad
Parastichopus_parvimensis,Count,Parastichopus parvimensis,warty sea cucumber,Invertebrates,detritivore,Targeted
Panulirus_interruptus,Count,Panulirus interruptus,California spiny lobster,Invertebrates,carnivore,Targeted
Kelletia_kelletii,Biomass,Kelletia kelletii,Kellet's whelk,Invertebrates,carnivore,Targeted
Hypsypops_rubicundus,Biomass,Hypsypops rubicundus,"garibaldi, adult",Fish,carnivore,Non-targeted
Simpson_Index,Index,Simpson Index,Simpson Index,Calculated Value,Calculated Value,Calculated Value
Cystoseira,Percent,Cystoseira,bladder chain kelp,Algae,producer,Non-targeted
Strongylocentrotus_franciscanus,Biomass,Strongylocentrotus franciscanus,red sea urchin,Invertebrates,herbivore,Targeted
Tethya_aurantia,Biomass,Tethya aurantia,orange puffball sponge,Invertebrates,planktivore,Non-targeted
Strongylocentrotus_purpuratus,Biomass,Strongylocentrotus purpuratus,purple sea urchin,Invertebrates,herbivore,Non-targeted
articulated_coralline_algae,Percent,articulated coralline algae,articulated coralline algae,Algae,producer,Non-targeted
Macrocystis_pyrifera,Biomass,Macrocystis pyrifera,"giant kelp, adult (>1m)",Algae,producer,Targeted
Aplysia_californica,Count,Aplysia californica,California brown sea hare,Invertebrates,herbivore,Non-targeted
Lytechinus_anamesus,Biomass,Lytechinus anamesus,white sea urchin,Invertebrates,herbivore,Non-targeted
Patiria_miniata,Biomass,Patiria miniata,bat star,Invertebrates,carnivore,Non-targeted
Laminaria_farlowii,Count,Laminaria farlowii,"oar weed, adult (>10cm wide)",Algae,producer,Non-targeted
Corynactis_californicus,Percent,Corynactis californicus,club-tipped anemone,Invertebrates,planktivore,Non-targeted
Brachyistius_frenatus,Count,Brachyistius frenatus,kelp surfperch,Fish,carnivore,Non-targeted
Crassedoma_giganteum,Biomass,Crassedoma giganteum,rock scallop,Invertebrates,planktivore,Targeted
Muricea_californica,Count,Muricea californica,California golden gorgonian,Invertebrates,planktivore,Non-targeted
Rhodophyta,Percent,Rhodophyta,red algae (miscellaneous),Algae,producer,Non-targeted
Tunicata,Percent,Tunicata,tunicates,Invertebrates,planktivore,Non-targeted
Phaeophyta,Percent,Phaeophyta,brown algae (miscellaneous),Algae,producer,Non-targeted
Paralabrax_clathratus,Biomass,Paralabrax clathratus,"kelp bass, adult",Fish,piscivore,Targeted
Ophiothrix_spiculata,Percent,Ophiothrix spiculata,spiny brittle star,Invertebrates,detritivore,Non-targeted
Lophogorgia_chilensis,Count,Lophogorgia chilensis,red gorgonian,Invertebrates,planktivore,Non-targeted
Oxylebius_pictus,Count,Oxylebius pictus,painted greenling,Fish,carnivore,Non-targeted
Pycnopodia_helianthoides,Biomass,Pycnopodia helianthoides,sunflower star,Invertebrates,carnivore,Non-targeted
Megastraea_undosa,Biomass,Megastraea undosa,wavy turban snail,Invertebrates,herbivore,Targeted
Megathura_crenulata,Biomass,Megathura crenulata,giant keyhole limpet,Invertebrates,herbivore,Non-targeted
Porifera,Percent,Porifera,sponges,Invertebrates,planktivore,Non-targeted
Sebastes_serriceps,Count,Sebastes serriceps,treefish,Fish,piscivore,Targeted
Eisenia_arborea,Count,Eisenia arborea,"Southern sea palm, adult",Algae,producer,Non-targeted
Shannon_Index,Index,Shannon Index,Shannon Index,Calculated Value,Calculated Value,Calculated Value
Cypraea_spadicea,Biomass,Cypraea spadicea,chestnut cowrie,Invertebrates,carnivore,Non-targeted
Chromis_punctipinnis,Biomass,Chromis punctipinnis,"blacksmith, adult",Fish,planktivore,Non-targeted
Coryphopterus_nicholsi,Count,Coryphopterus nicholsi,blackeye goby,Fish,planktivore,Non-targeted
