Site Number,Island Name,Site Name,Island Code,Site Code,Depth Range,Year Established,Year MPA Established
1,San Miguel,Wyckoff Ledge,SM,WL,13-15 m,1982,N/A
2,San Miguel,Hare Rock,SM,HR,6-9 m,1982,2003
21,San Miguel,Miracle Mile,SM,MM,7-10 m,2001,N/A
3,Santa Rosa,Johnson's Lee North,SR,JLNO,9-11 m,1982,N/A
4,Santa Rosa,Johnson's Lee South,SR,JLSO,14-16 m,1982,N/A
5,Santa Rosa,Rodes Reef,SR,RR,13-15 m,1983,N/A
22,Santa Rosa,Cluster Point,SR,CP,12-15 m,2005,N/A
23,Santa Rosa,Trancion Canyon,SR,TC,9-15 m,2005,2003
24,Santa Rosa,Chickasaw,SR,CSAW,10-13 m,2005,2003
25,Santa Rosa,South Point,SR,SP,11-13 m,2005,2003
6,Santa Cruz,Gull Island South,SC,GI,14-16 m,1982,2003
7,Santa Cruz,Fry's Harbor,SC,FH,12-13 m,1982,N/A
8,Santa Cruz,Pelican Bay,SC,PB,6-8 m,1982,N/A
9,Santa Cruz,Scorpion Anchorage,SC,SA,5-6 m,1982,2003
10,Santa Cruz,Yellowbanks,SC,YB,14-15 m,1986,N/A
26,Santa Cruz,Devil's Peak Member,SC,DPM,10-13 m,2005,N/A
27,Santa Cruz,Potato Pasture,SC,PP,9-12 m,2005,2003
28,Santa Cruz,Cavern Point,SC,CVP,12-13 m,2005,2003
29,Santa Cruz,Little Scorpion,SC,LS,9-14 m,2005,N/A
30,Santa Cruz,Pedro Reef,SC,PRF,7-10 m,2005,N/A
11,Anacapa,Admiral's Reef,AN,AR,13-15 m,1982,N/A
12,Anacapa,Cathedral Cove,AN,CC,6-11 m,1982,1979
13,Anacapa,Landing Cove,AN,LC,5-12 m,1982,1979
31,Anacapa,Keyhole,AN,KH,7-10 m,2005,2003
32,Anacapa,East Fish Camp,AN,EFC,9-14 m,2005,N/A
33,Anacapa,Black Sea Bass Reed,AN,BSBR,15-16 m,2005,2003
34,Anacapa,Lighthouse,AN,LH,7-9 m,2005,N/A
14,Santa Barbara,Southeast Sea Lion Rookery,SB,SESL,12-14 m,1982,2003
15,Santa Barbara,Arch Point,SB,AR,7-8 m,1982,N/A
16,Santa Barbara,Cat Canyon,SB,CAT,7-9 m,1986,N/A
35,Santa Barbara,Webster's Arch,SB,WA,14-16 m,2005,N/A
36,Santa Barbara,Graveyard Canyon,SB,GC,10-12 m,2005,2003
37,Santa Barbara,Southeast Reef,SB,SER,10-15 m,2005,2003
