Group,Taxa/Common Name,Scientific Name,1 m,5 m,Bands,RPCs,NHSF,VFT,RDFC
Algae,Miscellaneous green algae,NA,NA,NA,NA,X,NA,NA,NA
Algae,Miscellaneous red algae,NA,NA,NA,NA,X,NA,NA,NA
Algae,Articulated coralline algae,NA,NA,NA,NA,X,NA,NA,NA
Algae,Encrusting coralline algae,NA,NA,NA,NA,X,NA,NA,NA
Algae,Agar weed,Gelidium spp.,NA,NA,NA,X,NA,NA,NA
Algae,Sea tongue,Gigartina spp.,NA,NA,NA,X,NA,NA,NA
Algae,Miscellaneous brown algae,NA,NA,NA,NA,X,NA,NA,NA
Algae,Acid weed,Desmarestia spp.,NA,NA,NA,X,NA,NA,NA
Algae,Oar weed,Laminaria farlowii,X,NA,NA,X,NA,NA,NA
Algae,Bladder chain kelp,Cystoseira spp.,NA,NA,NA,X,NA,NA,NA
Algae,Giant kelp,Macrocystis pyrifera,X,X,NA,X,NA,NA,NA
Algae,California sea palm,Pterygophora californica,X,NA,NA,X,NA,NA,NA
Algae,Southern sea palm,Eisenia arborea,X,NA,NA,X,NA,NA,NA
Algae,Devil weed,Sargassum horneri,X,X,X,X,NA,NA,NA
Algae,Wakame,Undaria pinnatifida,X,X,X,X,NA,NA,NA
Algae,Miscellaneous plants,NA,NA,NA,NA,X,NA,NA,NA
Invertebrates,Miscellaneous sponges,NA,NA,NA,NA,X,NA,NA,NA
Invertebrates,Orange puffball sponge,Tethya aurantia,NA,NA,X,NA,X,NA,NA
Invertebrates,Southern staghorn bryozoan,Diaperoecia californica,NA,NA,NA,X,NA,NA,NA
Invertebrates,Miscellaneous bryozoans,NA,NA,NA,NA,X,NA,NA,NA
Invertebrates,California hydrocoral,Stylaster californica,NA,NA,X,NA,X,NA,NA
Invertebrates,White-spotted rose anemone,Tealia lofotensis,NA,NA,X,NA,NA,NA,NA
Invertebrates,Red gorgonian,Lophogorgia chilensis,NA,NA,X,NA,X,NA,NA
Invertebrates,Brown gorgonian,Muricea fruticosa,NA,NA,X,NA,X,NA,NA
Invertebrates,Californian golden gorgonian,Muricea californica,NA,NA,X,NA,X,NA,NA
Invertebrates,Strawberry anemone,Corynactis californica,NA,NA,NA,X,NA,NA,NA
Invertebrates,Orange cup coral,Balanophyllia elegans,NA,NA,NA,X,NA,NA,NA
Invertebrates,Cup coral,Astrangia lajollaensis,NA,NA,NA,X,NA,NA,NA
Invertebrates,Ornate tube worm,Diopatra ornata,NA,NA,NA,X,NA,NA,NA
Invertebrates,Colonial sand-tube worm,Phragmatopoma californica,NA,NA,NA,X,NA,NA,NA
