Group,Taxa/Common Name,Scientific Name,1 m,5 m,Bands,RPCs,NHSF,VFT,RDFC
Algae,Miscellaneous green algae,NA,NA,NA,NA,1982-present ,NA,NA,NA
Algae,Miscellaneous red algae,NA,NA,NA,NA,1982-present ,NA,NA,NA
Algae,Articulated coralline algae,NA,NA,NA,NA,1982-present ,NA,NA,NA
Algae,Encrusting coralline algae,NA,NA,NA,NA,1982-present ,NA,NA,NA
Algae,Agar weed,Gelidium spp.,NA,NA,NA,1982-present ,NA,NA,NA
Algae,Sea tongue,Gigartina spp.,NA,NA,NA,1982-present ,NA,NA,NA
Algae,Miscellaneous brown algae,NA,NA,NA,NA,1982-present ,NA,NA,NA
Algae,Acid weed,Desmarestia spp.,NA,NA,NA,1982-present ,NA,NA,NA
Algae,Oar weed,Laminaria farlowii,1996-present,NA,NA,1982-present ,NA,NA,NA
Algae,Bladder chain kelp,Cystoseira spp.,NA,NA,NA,1982-present ,NA,NA,NA
Algae,Giant kelp,Macrocystis pyrifera,1983-present,1996-present,NA,1993-present,NA,NA,NA
Algae,California sea palm,Pterygophora californica,1996-present,NA,NA,1993-present,NA,NA,NA
Algae,Southern sea palm,Eisenia arborea,1996-present,NA,NA,1993-present ,NA,NA,NA
Algae,Devil weed,Sargassum horneri,2010-present,2010-present,2010-present,2010-present ,NA,NA,NA
Algae,Wakame,Undaria pinnatifida,2016-present,2016-present,2016-present,N/A,NA,NA,NA
Algae,Miscellaneous plants,NA,NA,NA,NA,1982-present ,NA,NA,NA
Invertebrates,Miscellaneous sponges,NA,NA,NA,NA,1985-present ,NA,NA,NA
Invertebrates,Orange puffball sponge,Tethya aurantia,NA,NA,1983-present,NA,X,NA,NA
Invertebrates,Southern staghorn bryozoan,Diaperoecia californica,NA,NA,NA,1982-present ,NA,NA,NA
Invertebrates,Miscellaneous bryozoans,NA,NA,NA,NA,1985-present ,NA,NA,NA
Invertebrates,California hydrocoral,Stylaster californica,NA,NA,1983-present,NA,X,NA,NA
Invertebrates,White-spotted rose anemone,Tealia lofotensis,NA,NA,1983-present,NA,NA,NA,NA
Invertebrates,Red gorgonian,Lophogorgia chilensis,NA,NA,1983-present,NA,X,NA,NA
Invertebrates,Brown gorgonian,Muricea fruticosa,NA,NA,1983-present ,NA,X,NA,NA
